,Listing ID,S,Sub Type,St#,St Name,City,MLS Area,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,LSqft/Ac,DOM/CDOM,View YN,Pool Private YN,BAC,Contract Status Change Date,MLS,County 
1,PW19179972,S,SFR/D,138,11th ST  ,SLB,1A,"STD,TRUS","$1,070,000 ",$568.54 ,"3/2,0,0,0",1882/A,1960/ASR,"2,938/0.0674",24/24,Y,N,12500,9/23/19,CRMLSM,Orange
1,PW19150297,S,SFR/D,708,Balboa DR  ,SLB,1A,STD,"$1,299,000 ",$556.08 ,"4/2,2,0,0",2336/A,1958/ASR,"5,880/0.135",20/20,Y,N,3,8/16/19,CRMLSM,Orange
1,OC19161923,S,SFR/D,10350,Hickock RD  ,STAN,11,STD,"$590,000 ",$490.03 ,"3/2,0,0,0",1204/A,1957/ASR,"6,237/0.1432",2-Feb,Y,N,2.5,8/16/19,CRMLSM,Orange
1,OC19194337,S,SFR/A,8222,Foxhall DR  ,HB,14,STD,"$679,000 ",$523.92 ,"3/2,0,0,0",1296/A,1964/ASR,"1,584/0.0364",1-Jan,Y,N,2.5,9/17/19,CRMLSM,Orange
1,OC19155053,S,SFR/D,19451,Bluegill CIR  ,HB,14,STD,"$715,000 ",$607.99 ,"3/2,0,0,0",1176/A,1964/ASR,"6,675/0.1532",0/0,Y,Y,1,8/15/19,CRMLSM,Orange
1,PW19132852,S,SFR/D,19172,Hickory LN  ,HB,14,STD,"$750,000 ",$529.66 ,"3/2,0,0,0",1416/A,1969/ASR,"6,300/0.1446",46/199,N,N,2.5,8/20/19,CRMLSM,Orange
1,OC19138257,S,SFR/D,19752,Trident LN  ,HB,14,STD,"$755,000 ",$668.73 ,"3/2,0,0,0",1129/A,1963/ASR,"6,000/0.1377",6-Jun,Y,N,2.5,7/23/19,CRMLSM,Orange
1,PW19137977,S,SFR/D,8141,Malloy DR  ,HB,14,STD,"$755,000 ",$575.90 ,"3/1,1,0,0",1311/A,1962/ASR,"6,250/0.1435",15/15,Y,N,2.5,8/2/19,CRMLSM,Orange
1,OC19140469,S,SFR/D,9452,Karen CIR  ,HB,14,"STD,TRUS","$765,000 ",$650.51 ,"3/2,0,0,0",1176/A,1963/ASR,"6,279/0.1441",18/18,N,N,2.5,8/19/19,CRMLSM,Orange
1,OC19145609,S,SFR/D,10041,Valley Forge DR  ,HB,14,STD,"$786,000 ",$542.82 ,"4/2,0,0,0",1448/A,1964/ASR,"6,000/0.1377",23/23,N,N,2.5,8/10/19,CRMLSM,Orange
1,IG19155859,S,SFR/D,19301,Waterbury LN  ,HB,14,STD,"$791,000 ",$614.13 ,"4/2,0,0,0",1288/A,1961/ASR,"6,000/0.1377",37/37,N,N,15000,9/27/19,CRMLSM,Orange
1,PW19186957,S,SFR/D,19801,Bushard ST  ,HB,14,STD,"$795,000 ",$610.60 ,"3/2,0,0,0",1302/A,1963/ASR,"6,000/0.1377",23/23,N,N,2,9/27/19,CRMLSM,Orange
1,LG19174607,S,SFR/D,9131,Gettysburg DR  ,HB,14,STD,"$800,000 ",$481.06 ,"4/3,0,0,0",1663/A,1963/ASR,"6,100/0.14",8-Aug,Y,N,2.5,9/16/19,CRMLSM,Orange
1,OC19109264,S,SFR/D,21321,Compass LN  ,HB,14,"STD,TRUS","$801,000 ",$490.21 ,"3/2,0,0,0",1634/A,1967/ASR,"5,280/0.1212",42/42,N,N,2.25,8/21/19,CRMLSM,Orange
1,PW19123737,S,SFR/D,8391,Hamden LN  ,HB,14,STD,"$812,000 ",$345.24 ,"5/2,0,0,0",2352/A,1961/PUB,"8,515/0.1955",78/78,N,Y,2.5,8/23/19,CRMLSM,Orange
1,NP19152259,S,SFR/D,8651,Bellmead DR  ,HB,14,"STD,TRUS","$820,018 ",$610.13 ,"3/2,0,0,0",1344/A,1972/ASR,"6,000/0.1377",7-Jul,N,N,2.5,7/31/19,CRMLSM,Orange
1,OC19136606,S,SFR/D,19952,Gloucester LN  ,HB,14,STD,"$829,000 ",$539.71 ,"3/2,0,0,0",1536/A,1962/ASR,"6,000/0.1377",41/41,N,N,2.5,8/14/19,CRMLSM,Orange
1,OC19138490,S,SFR/D,8201,Kingfisher DR  ,HB,14,STD,"$841,000 ",$552.93 ,"3/2,0,0,0",1521/A,1963/BLD,"6,416/0.1473",1-Jan,Y,N,2.5,7/18/19,CRMLSM,Orange
1,OC19148271,S,SFR/D,9331,Westcliff DR  ,HB,14,STD,"$855,000 ",$587.23 ,"4/2,0,0,0",1456/P,1972/PUB,"6,060/0.1391",32/32,Y,N,2.5,8/30/19,CRMLSM,Orange
1,OC19068231,S,SFR/D,19092,Summerfield LN  ,HB,14,STD,"$860,000 ",$441.93 ,"4/2,0,0,0",1946/A,1964/ASR,"5,600/0.1286",72/72,Y,N,2.5,8/13/19,CRMLSM,Orange
1,OC19112563,S,SFR/D,19421,Worchester LN  ,HB,14,STD,"$868,000 ",$469.19 ,"3/2,0,0,0",1850/E,1965/APP,"6,905/0.1585",21/168,N,N,2.5,7/17/19,CRMLSM,Orange
1,OC19107286,S,SFR/D,8641,Mossford DR  ,HB,14,STD,"$875,000 ",$501.72 ,"3/2,0,0,0",1744/A,1972/ASR,"6,000/0.1377",6-Jun,N,N,2,6/17/19,CRMLSM,Orange
1,TR19159467,S ,SFR/D,20741,Elizabeth LN  ,HB,14,STD,"$875,000 ",$515.92 ,"3/2,0,0,0",1696/A,1966/ASR,"6,098/0.14",67/67,N,N,2.25,9/20/19,CRMLSM,Orange
1,PW19166461,S,SFR/D,20762,Hopetown LN  ,HB,14,STD,"$880,000 ",$550.00 ,"3/2,0,0,0",1600/A,1966/ASR,"6,500/0.1492",May-96,N,Y,2,8/27/19,CRMLSM,Orange
1,OC19173159,S,SFR/D,20381,Seven Seas LN  ,HB,14,STD,"$881,000 ",$518.24 ,"4/2,0,0,0",1700/A,1963/ASR,"6,000/0.1377",21/21,,N,2.5,9/12/19,CRMLSM,Orange
1,OC19181013,S,SFR/D,21122,White Horse LN  ,HB,14,STD,"$882,500 ",$627.67 ,"3/2,0,0,0",1406/A,1972/ASR,"6,000/0.1377",5-May,N,N,2.5,9/27/19,CRMLSM,Orange
1,OC19137816,S,SFR/D,19682,Education LN  ,HB,14,STD,"$885,000 ",$606.16 ,"3/2,0,0,0",1460/A,1968/ASR,"6,030/0.1384",7-Jul,Y,Y,3,7/13/19,CRMLSM,Orange
1,OC19169064,S,SFR/D,20751,Kelvin LN  ,HB,14,STD,"$885,000 ",$551.06 ,"4/2,0,0,0",1606/A,1966/ASR,"6,000/0.1377",10-Oct,Y,N,2.5,8/30/19,CRMLSM,Orange
1,OC19156058,S,SFR/D,20101,Lawson LN  ,HB,14,STD,"$885,000 ",$384.78 ,"3/2,0,1,0",2300/OTH,1966/ASR,"6,200/0.1423",17/17,N,N,2,8/19/19,CRMLSM,Orange
1,PW19113384,S,SFR/D,8632,Lowmead DR  ,HB,14,STD,"$890,000 ",$662.20 ,"3/2,0,0,0",1344/A,1972/ASR,"6,442/0.1479",55/55,Y,Y,2.5,8/15/19,CRMLSM,Orange
