,Listing ID,S,Sub Type,St#,St Name,City,MLS Area,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,LSqft/Ac,DOM/CDOM,View YN,Pool Private YN,BAC,Contract Status Change Date,MLS,County
1,PW19208171,A,SFR/D,240,Corsair WAY  ,SLB,1A,"STD,TRUS","$999,995 ",$587.54 ,"4/2,0,0,0",1702/A,1969/PUB,"3,090/0.0709",33/33,N,N,2.25,9/2/19,CRMLSM,Orange
1,OC19233879,A,SFR/D,215,4th ST  ,SLB,1A,STD,"$1,100,000 ","$1,026.12 ","3/1,0,0,0",1072/A,1950/ASR,"3,525/0.0809",3-Mar,Y,N,2.5,10/2/19,CRMLSM,Orange
1,PW19161755,A,SFR/D,12280,Old Harbor CT  ,SLB,1A,STD,"$1,399,900 ",$389.73 ,"5/4,0,0,0",3592/A,2001/ASR,"4,595/0.1055",88/88,N,N,3,7/9/19,CRMLSM,Orange
1,PW19208408,A,SFR/D,1605,Ocean AVE  ,SLB,1A,STD,"$1,479,000 ",$670.14 ,"3/2,0,1,0",2207/A,1998/ASR,"2,500/0.0574",36/36,Y,N,2.5,8/30/19,CRMLSM,Orange
1,RS19201199,A,SFR/D,1420,Crestview AVE  ,SLB,1A,STD,"$1,599,000 ",$636.54 ,"4/3,0,0,0",2512/A,1962/ASR,"6,000/0.1377",43/43,Y,Y,2.5,8/23/19,CRMLSM,Orange
1,PW19107453,A,SFR/D,112,13th ST  ,SLB,1A,STD,"$1,625,000 ",$666.53 ,"3/2,0,1,0",2438/A,2004/OTH,"2,938/0.0674",149/149,N,N,2,4/17/19,CRMLSM,Orange
1,PW19196954,A,SFR/D,1725,Crestview AVE  ,SLB,1A,STD,"$1,675,000 ",$476.26 ,"5/4,0,0,0",3517/A,1962/ASR,"9,800/0.225",50/50,Y,N,2.25,8/16/19,CRMLSM,Orange
1,OC19227957,A,SFR/D,400,Central AVE  ,SLB,1A,STD,"$1,879,000 ",$633.73 ,"5/3,0,1,0",2965/A,1987/ASR,"4,446/0.1021",10-Oct,Y,Y,2.5,9/25/19,CRMLSM,Orange
1,PV19181883,A,SFR/D,127,8th   ,SLB,1A,STD,"$1,950,000 ",$671.72 ,"4/3,0,1,0",2903/A,1992/ASR,"2,983/0.0685",66/118,Y,N,3,7/25/19,CRMLSM,Orange
1,DW19162015,A,SFR/D,8171,Orangewood Ave   ,STAN,11,STD,"$570,000 ",$535.71 ,"3/2,0,0,0",1064/A,1957/ASR,"7,242/0.1663",81/81,N,N,2,7/8/19,CRMLSM,Orange
1,NP19216469,A,SFR/D,19792,Westwinds LN  ,HB,14,STD,"$699,000 ",$779.26 ,"2/1,0,0,0",897/A,1963/ASR,"6,098/0.14",24/24,,N,2.5,9/11/19,CRMLSM,Orange
1,OC19180656,A,SFR/D,19071,Milford CIR  ,HB,14,TRUS,"$699,900 ",$570.42 ,"3/2,0,0,0",1227/A,1962/ASR,"7,000/0.1607",64/64,Y,N,2.5,8/2/19,CRMLSM,Orange
1,OC19228206,A,SFR/D,9322,Velardo DR  ,HB,14,STD,"$765,000 ",$650.51 ,"3/2,0,0,0",1176/A,1963/ASR,"6,028/0.1384",10-Oct,N,N,2.5,8/26/19,CRMLSM,Orange
1,RS19205271,A,SFR/D,10182,Kaimu DR  ,HB,14,STD,"$790,000 ",$670.63 ,"3/1,1,0,0",1178/A,1963/ASR,"6,098/0.14",39/39,Y,N,2.5,8/27/19,CRMLSM,Orange
1,OC19223950,A,SFR/D,19872,Ranger LN  ,HB,14,STD,"$814,000 ",$562.15 ,"3/2,0,0,0",1448/A,1965/ASR,"6,000/0.1377",15/15,Y,N,2.5,9/16/19,CRMLSM,Orange
1,OC19220237,A,SFR/D,19691,Constellation LN  ,HB,14,STD,"$829,000 ",$636.71 ,"3/2,0,0,0",1302/A,1965/ASR,"6,000/0.1377",22/22,N,Y,2.5,9/13/19,CRMLSM,Orange
1,OC19229997,A,SFR/D,19101,Tigerfish CIR  ,HB,14,STD,"$830,000 ",$608.50 ,"4/2,1,0,0",1364/A,1962/ASR,"6,300/0.1446",8-Aug,Y,N,2.5,9/21/19,CRMLSM,Orange
1,PW19196163,A,SFR/D,8292,Lancaster DR  ,HB,14,STD,"$859,000 ",$429.50 ,"5/2,0,0,0",2000/E,1965/EST,"7,350/0.1687",50/50,Y,N,2,8/16/19,CRMLSM,Orange
1,OC19194254,A,SFR/D,9162,Annik DR  ,HB,14,STD,"$875,000 ",$479.19 ,"4/2,0,1,0",1826/A,1969/ASR,"6,060/0.1391",52/52,N,N,2.5,8/14/19,CRMLSM,Orange
1,PW19235669,A,SFR/D,8281,Tyler CIR  ,HB,14,STD,"$898,000 ",$547.90 ,"3/1,1,0,0",1639/A,1960/ASR,"6,000/0.1377",1-Jan,Y,N,2,10/4/19,CRMLSM,Orange
1,OC19219505,A,SFR/D,19361,Worchester LN  ,HB,14,STD,"$898,500 ",$479.20 ,"4/2,0,0,0",1875/A,1969/ASR,"7,343/0.1686",22/22,N,N,2,9/13/19,CRMLSM,Orange
1,OC19227088,A,SFR/D,10052,Merrimac DR  ,HB,14,STD,"$899,000 ",$376.62 ,"4/2,0,0,0",2387/S,1964/ASR,"6,000/0.1377",10-Oct,N,Y,2.5,9/25/19,CRMLSM,Orange
1,OC19220838,A,SFR/D,21281,Sand Dollar LN  ,HB,14,STD,"$925,000 ",$566.44 ,"3/2,0,0,0",1633/A,1969/ASR,"6,500/0.1492",19/100,Y,N,2.5,9/16/19,CRMLSM,Orange
1,OC19162030,A,SFR/D,8921,Shoal CIR  ,HB,14,STD,"$925,000 ",$588.80 ,"4/2,0,0,0",1571/A,1963/ASR,"6,000/0.1377",10-Oct,N,N,2.5,9/25/19,CRMLSM,Orange
