SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
1,9,California,State,CA,92351,92340,91494,94392,102334,100173,105224,103690,100606,110714,98817,87717,92780,91960,97913,112839,109246,116983,128488,121924,119515,125333,112790,101204,95979,97544,99482,113991,106326,112343,123327,116302,121507,110026,103228,92777,83701,88021,100704,100640,104880,120004,116582,125243,112157,107260,103887,82748,80234,84439,93301,88e3,100736,94299,93446,101425,92238,88813,87433,68314,76478,77647,82112,88840,104035,101415,105301,116411,110511,118449,103657,90486,96766,93205,96618,101247,112885,105385,116165,105498
2,54,Texas,State,TX,130657,131870,137337,142105,151464,144484,149103,141955,133771,137708,124619,113642,117020,113439,119434,131927,125890,132113,143080,135761,127608,130237,118740,112821,106760,113397,114216,128416,119107,122111,131909,125660,129792,119156,115235,110490,102432,104603,117960,113179,117676,130570,127311,135362,124191,121246,122107,106605,108972,113447,123786,118506,132524,129037,135477,144672,134691,127391,128182,111217,116572,112794,119463,125892,139434,137376,139213,146125,133717,138440,126171,116084,123252,119432,124901,130630,143345,137371,148679,137843
3,43,New York,State,NY,101593,99610,104589,111367,119027,111164,112408,108143,104206,108718,100840,90445,90267,94363,94231,103722,103019,108058,113418,106750,107333,108506,98024,91502,83347,84609,89142,104266,103901,110239,114598,107871,110014,102411,95979,89505,81785,82332,91034,92667,97692,103382,97897,99836,95827,92454,89152,78551,76421,77860,81322,78050,86495,82933,83774,85083,80986,79425,76641,64890,66191,69294,69305,74469,83449,82913,83680,86159,82663,85587,76227,67679,68766,66661,70207,75102,83743,82515,86489,81002
4,14,Florida,State,FL,203196,201276,205731,205430,200242,185689,190273,177753,176198,192712,192025,189553,204043,197105,202698,214933,200081,213061,211882,196967,195360,204599,195151,196421,197141,199563,183286,197174,183869,182686,187575,176630,183959,173548,174282,177181,176163,185010,198253,186951,187857,191648,180150,190415,177020,175721,186225,172535,182951,191519,199332,182555,186132,170892,169646,176628,151852,160110,171045,158967,179192,175005,179272,178851,184122,170530,169182,175920,166854,180377,174024,169485,191617,188318,189244,186498,191021,172321,174936,161451
5,21,Illinois,State,IL,68242,67791,69916,73071,78527,74997,76688,75105,72732,73837,67248,61044,61119,59358,64099,74984,73058,77873,84545,80408,79753,80743,73409,67966,64745,66841,71236,83741,78989,82976,88177,82032,84035,77875,73513,67391,61841,64080,75268,72642,75843,81985,80027,83376,76166,73224,70867,61246,59864,62336,69460,66541,72225,69997,70831,74949,70955,68799,66345,55110,56315,56138,61358,64267,70924,70540,71716,75447,70895,72556,63169,55067,55951,55454,59994,65409,71189,68656,75288,71509
6,47,Pennsylvania,State,PA,71439,70214,74007,78733,85849,84811,86366,82633,81588,83424,77910,71165,70850,66733,70047,81264,81683,84989,88710,86106,85644,86836,79117,74074,68473,67980,71219,80033,77056,81680,86540,83519,85020,79659,75717,71681,65424,65903,72993,73401,75700,80545,76515,79477,74807,73073,71183,61491,59674,60458,64687,62906,69376,66678,67717,70389,66719,65093,65410,54632,55066,53258,54898,58617,64400,62536,61467,64237,60187,62676,55747,49536,50365,47258,48760,51831,56893,55182,58670,54737
7,44,Ohio,State,OH,60342,59436,62318,65278,71582,70461,72750,69775,67931,69133,63037,57609,57301,54372,56057,63161,62950,66495,71763,69415,68302,68896,62367,58152,54096,53737,55451,63254,60209,66583,70400,67639,69054,64529,60659,57668,51791,51822,55995,54336,56509,62279,60043,65309,60680,58370,56059,47471,45942,46438,49791,47836,52178,51067,52342,56139,52244,50266,49122,41196,41710,39422,40730,42892,48658,47854,49303,53190,49188,51367,44777,39001,39534,36711,37755,39319,44325,42836,48032,45429
8,30,Michigan,State,MI,67457,64360,65644,69504,76834,76542,78712,78172,74902,76539,69468,64249,61589,57478,58707,67134,68880,75617,83181,81132,81058,81653,71295,66228,60980,60858,61716,71392,67572,73202,81214,81538,82097,74845,68879,63473,56511,55651,59530,59905,64078,72032,70257,75492,69606,66514,62506,52349,49011,48787,51661,50443,57082,56705,58648,63290,58394,55739,53313,44070,43286,39771,41206,43767,51488,53616,55163,60784,56783,57947,50364,44209,44251,40099,41725,44439,51746,52368,58800,57523
9,16,Georgia,State,GA,64296,61795,65009,66899,70824,68795,71736,69343,69408,73330,69660,63182,64775,62128,67574,72818,71071,73791,78018,73411,72832,75148,70213,68106,65871,66410,72820,82887,77823,80391,85544,82538,83657,78444,74037,71074,65965,66010,72343,70530,75597,83075,77273,80926,74696,72371,72253,64699,63917,65362,69891,65916,70657,67057,67484,70404,63666,63196,63218,55229,57963,55489,56846,58959,63571,61520,62542,65622,60924,63983,58158,54005,57665,59561,57071,58723,65008,60926,65561,61533
10,36,North Carolina,State,NC,85704,84283,88235,93144,97759,96089,97510,93719,91860,95792,90744,81968,83105,78781,83339,92227,91433,92542,96245,91853,90131,87933,81629,77048,72999,74230,77749,84755,75529,78046,81775,78705,80001,75237,70093,68307,64838,67105,72248,72099,74241,79204,75337,77874,72635,69844,67926,59973,58490,60483,64106,60908,64863,63336,63823,66157,62523,61712,61178,53189,54678,53417,56120,58397,62948,60661,59327,60466,54698,57436,51209,46108,48556,47169,49167,51011,56647,52039,56113,52728
