Month,StateID,State,Property Type,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Median List Price Per Sqft,Median List Price Per Sqft M/M,Median List Price Per Sqft Y/Y,Median Listing Sqft,Median Listing Sqft M/M,Median Listing Sqft Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y
201904,AK,Alaska,Single Family Home,309500,0.0317,0.0351,2658,0.0907,0.0153,64,-0.2471,-0.0588,942,0.1601,0.1108,44,0.5714,0.2222,666,0.3875,-0.0376,0,,,168,-0.0037,0.0123,1859,0.0106,-0.0027,346500,0.0023,0.0017
201904,AL,Alabama,Single Family Home,229000,0.0320,0.1171,24536,0.0401,-0.0511,73,-0.1098,0.0000,6906,0.0413,-0.0509,534,0.1711,0.1920,4218,0.1218,-0.0814,176,0.0000,2.9111,106,0.0174,0.0691,2069,0.0103,0.0232,298900,0.0328,0.1017
201904,AR,Arkansas,Single Family Home,185000,0.0115,0.0283,15859,0.0201,-0.0003,79,-0.1023,0.0128,4334,0.1034,-0.0023,158,0.3621,0.1618,2684,0.2542,0.1054,1719,0.1863,-0.0029,98,0.0044,0.0296,1997,0.0158,0.0147,253200,0.0197,0.0356
201904,AZ,Arizona,Single Family Home,350000,0.0043,0.0324,28906,0.0132,0.0393,52,-0.0189,0.0196,11168,0.0556,0.0134,992,0.0973,-0.1507,10086,-0.0528,0.1761,10646,0.1689,2.1562,168,0.0077,0.0540,2174,0.0083,-0.0109,549700,0.0153,0.0281
201904,CA,California,Single Family Home,575000,0.0286,0.0474,76629,0.0538,0.1324,43,-0.1042,0.0750,40086,0.2089,0.0301,1378,0.0666,-0.0886,16040,0.1142,0.1677,26316,0.1516,0.4286,292,0.0183,0.0595,1991,0.0215,-0.0045,1064800,0.0041,0.0161
201904,CO,Colorado,Single Family Home,479700,0.0078,0.0316,24486,0.1165,0.1078,44,-0.1373,0.1000,11466,0.3198,0.0879,662,0.0888,0.0747,4654,0.2132,0.3029,2806,0.1458,0.1810,179,0.0079,0.0502,2800,0.0030,-0.0120,816000,-0.0272,-0.0028
201904,CT,Connecticut,Single Family Home,399900,0.0023,0.0023,19276,0.1274,0.0738,63,-0.2222,0.0678,6088,0.2610,0.0482,110,0.1458,-0.0517,3512,0.2855,0.0465,37,0.2333,0.2759,189,0.0096,0.0180,2167,0.0044,-0.0039,828500,-0.0047,-0.0065
201904,DC,District of Columbia,Single Family Home,687500,0.1000,-0.0833,595,0.1333,-0.2045,34,-0.2609,0.1333,374,0.1835,-0.2009,6,-0.2500,-0.7000,138,0.3269,-0.0921,3,2.0000,0.5000,374,0.0058,-0.2559,1923,0.0985,-0.0098,1204900,0.0283,-0.0603
201904,DE,Delaware,Single Family Home,329200,0.0132,0.1205,4137,0.0600,-0.1408,80,-0.2661,0.0127,1138,-0.0421,-0.2816,218,0.3974,-0.0917,804,0.3673,-0.0864,0,,,153,0.0083,0.0663,2153,0.0134,0.0787,440400,0.0176,0.1362
201904,FL,Florida,Single Family Home,349000,0.0265,0.0116,107984,-0.0197,0.1108,71,0.0290,0.0597,31450,-0.0402,0.0485,3048,0.0066,-0.0907,29974,-0.0855,0.1481,36872,0.1081,0.0189,168,0.0040,0.0324,2057,0.0077,-0.0229,680500,0.0142,0.0096
