RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
9,California,1,23365,28452,31222,32895,36549,35170,36246,38701,29103,35687,28865,28770,35601,36986,36837,41546,42022,36674,37215,38287,32684,37842,26471,27116,36400,36063,38125,39862,33189,32567,32216,30164,29024,34397,26437,26078,36253,34266,34406,38185,33629,36650,33723,31154,30681,34416,26931,28952,36616,35643,40208,39602,37052,39470,31849,37006,34167,37293,28833,29372,37026,39288,42987,39738,42498,42093,35278,37214,31800,33525,26991,26767,32930,38838,39578,39549,40736,38663,36091,38306,29969,34910,26423,26981,37034,41745,42280,47042,46752,41953,40642,38971,31012,38943,27958,28968,38742,40862,42820,47429,42010,44917,41364,40082,39061,39547,30867,29600,42057,39881,46690,51284,43364,47889,41675,41079,37859,36909,29084,29549,40107,41197,45309,45343,42668,43550,33348,37932,32585,30234,26244,28089,34837,38725,43956,39623,42665,39568
54,Texas,2,24876,27095,27758,28985,29439,26309,22307,22863,16232,20029,15644,17342,22670,22030,22746,26807,28049,24623,23472,23278,22654,22701,15232,17389,25251,26556,27364,29001,22057,22299,20025,18851,18375,20061,16725,15906,23037,22025,24170,25389,23061,26295,21466,19760,18805,20790,15382,18517,23268,22698,28104,27826,28128,27619,22022,25021,20238,22708,19678,20642,26152,31804,32548,31513,34537,34001,28421,27564,22910,25546,20413,20543,27604,30370,32858,34140,34475,28143,31733,30332,23394,28753,21018,21192,31350,30149,32904,38133,37283,33877,32571,30394,23354,30461,22432,25391,32859,32046,34993,39392,36052,38496,33551,30410,28641,31216,24661,25866,35675,32452,39593,40923,37186,37325,32605,33421,30231,31873,26916,27668,34575,37726,42460,41577,41289,41992,33624,35177,29595,29384,22848,23952,30776,32961,34871,30767,33632,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,8543,8217,9851,9709,9785,11614,11746,12394,10203,9069,8166,8680,8010,6905,7652,7947,9403,10795,10662,11103,10172,10000,8629,9010,9128,7617,8399,8898,10767,10909,12555,14644,13088,12930,10785,11886,9844,7908,9083,9373,11598,12248,14211,14150,13069,14107,10741,12828,9917,9310,10511,10494,10983,14087,16251,15755,15777,14880,13248,14469,11538,11462,13615,12400,13599,16426,16546,18704,17270,15786,14990,16018,13962,13484,15088,14339,17058,19374,17951,22187,18161,18482,16581,16802,15346,13004,13235,13264,15505,17484,18701,20455,16537,19130,15336,14336,13444,10657,12145,13725,14899,15326,19267,
14,Florida,4,17454,19512,19679,20452,20812,17529,17784,18173,13733,18161,16204,16145,21413,21870,22678,25715,25722,23164,23232,24669,22037,26307,20599,19243,28321,27661,26847,29870,26049,23765,23213,22625,20933,26479,23870,22910,30962,29935,28825,29451,26072,27764,24229,22679,22618,25564,21700,22258,28507,29949,31311,29737,29248,29226,25057,30024,27032,30472,28048,27114,32956,37881,38387,36905,38305,36556,32151,34234,28955,34360,28901,28691,35512,39693,40547,39831,40799,37305,35863,38598,32008,40523,29840,32017,42884,44747,42715,48512,45980,40747,40202,38315,32766,39591,29931,32347,40634,41114,42233,45785,39896,41892,36304,35144,34708,39116,31357,32215,44377,41587,48190,48361,42895,45284,30456,38228,34638,38639,33550,33199,43943,46692,49365,47956,45839,46045,37247,41085,37305,37385,33192,32401,42427,45357,45186,38966,45339,
21,Illinois,5,11619,12907,13627,14964,16181,14749,13884,13444,9189,9912,8078,7440,10087,10966,11246,13898,15129,13715,13733,14780,13585,13533,9622,8676,12165,13689,14385,16791,13617,12378,10882,10180,9696,10394,9225,7445,10588,10027,11747,13968,11939,14283,11908,11153,10581,11267,10085,8836,11142,11450,13791,15441,13858,16575,12106,12759,10963,11113,11806,9165,11056,13500,14197,15385,18960,18097,15385,17413,14208,13886,13083,10352,12161,15379,16291,18332,18599,17001,18651,19055,12940,15521,11626,10550,14330,16101,16961,22022,23083,23621,21796,20726,15468,17118,14026,13980,16988,19075,21738,25957,24084,25975,21400,19412,17578,18154,15759,13039,18827,18667,23397,25618,22806,25867,19818,19543,17857,16484,14180,11951,16716,19221,22435,24857,22332,21759,17482,18830,16322,15262,11160,11203,14515,17263,20210,20816,22097,24006
47,Pennsylvania,6,10031,11052,11884,13326,13716,12486,11453,11230,8644,9160,6465,5845,7934,8731,9363,11977,12974,12066,11514,11743,11599,11359,6386,5879,9581,10491,11369,14818,11527,9606,9321,8863,8279,9365,7009,6413,8733,8329,9729,11885,10523,11750,9577,9201,8688,9347,7618,6986,8480,9116,11174,11727,12316,12040,8859,11073,10306,10391,8729,7486,8897,11090,12653,13021,15007,14257,12367,12761,10582,11308,8810,7266,9337,10749,12130,14452,14490,13991,12584,13493,10855,12887,9101,8372,11420,11994,13134,16138,18112,15406,15130,15404,11901,13969,10441,9968,12317,13199,15495,18733,17068,18165,15406,14583,14437,15016,12030,10238,14061,13625,17288,18967,17292,18812,15467,16639,15538,15118,12852,10423,13292,15682,17813,19379,19495,20147,15808,17621,15489,15134,12010,10172,13261,15360,18030,17925,19695,
44,Ohio,7,10973,12142,13001,14078,13971,12687,12281,12423,9054,9861,7303,7636,9743,10258,10318,12585,12999,12217,12066,12688,11357,10942,7725,7417,10985,12048,13270,14573,10396,10250,10453,9401,8702,9488,7995,7322,10480,10131,11059,12182,11060,12078,10988,10154,9321,9585,8264,8386,10575,10419,11837,12507,11661,12066,10041,11572,10123,10160,9647,8981,11327,12595,14564,15412,16055,15832,13277,13919,11743,11009,8992,8351,10066,11552,13412,14784,14981,13238,13606,14007,10936,12621,9513,9555,12996,14028,15022,17818,17395,16390,15143,14617,11046,12160,10758,10663,13192,14520,16613,19407,17178,18526,17000,15488,14505,14620,11623,10948,15614,15375,18831,20670,18147,20512,17672,17931,16066,14981,12506,11096,15548,16766,19057,20025,19755,21077,16950,18769,16368,15272,12758,12672,15892,18390,20657,20527,21421,
30,Michigan,8,9694,10985,11828,12177,12639,12251,12580,13282,10284,9771,9648,8458,10817,11590,11895,12581,14179,13354,13393,13094,13305,12240,10565,9529,12037,12927,12844,14623,11646,11547,12086,11871,12499,10687,10589,9134,11850,11018,11543,12822,12182,14811,13149,12173,16126,10825,10984,10987,12275,11725,13852,14224,13718,15372,13867,16878,21654,12464,13507,11445,12469,13612,15345,15991,16665,17519,17146,17953,20662,12908,12169,9989,10662,12208,13453,14895,16171,15668,16007,17544,19037,14470,11740,9716,12334,13573,13418,18070,16722,17415,16946,17772,18039,13319,12563,11319,13260,13523,15904,18485,17257,19642,19560,15311,14889,13887,13821,11051,14502,12774,17516,20140,17773,21029,18268,18480,16292,13535,13926,10444,13284,14273,17424,18145,19193,20725,17756,19224,16045,13091,12401,11514,13444,13913,16829,17031,19861,
16,Georgia,9,12686,13674,13527,13577,14229,13067,12710,13124,9734,10747,8174,7771,11030,10084,10137,12092,12496,12067,10863,11249,10746,11648,7640,8739,11916,11740,11612,12565,9997,9994,11247,11424,10330,10567,9268,9243,11936,10621,12809,13512,13256,16854,18090,17057,16626,15943,16977,17837,20653,21360,23301,25364,23619,24682,21076,22116,20681,19317,20293,18988,21641,23079,24577,24676,24694,25250,21223,21371,18966,17585,18422,16937,20728,20759,23459,23112,23424,23365,20945,21077,18146,18662,17543,16880,20727,23269,16705,19041,17825,17064,20826,18914,12461,18816,16362,17898,22185,22746,24617,28279,21775,22988,20722,18754,17618,18863,12989,13491,19445,17432,21592,22033,18840,20590,17513,17406,16377,17468,13368,14979,19128,19866,21835,22557,20742,22655,17408,18293,17080,15521,13491,14982,18792,20028,22141,20790,22182,
36,North Carolina,10,9413,10243,11135,11130,10948,9926,8546,8208,5880,6794,5248,6004,7393,7554,8173,9587,9984,8724,8732,8948,8228,8047,5470,5987,8662,9742,9960,10957,8063,7646,7379,6823,6260,7737,5633,5734,8081,7892,8287,9249,7945,8689,7503,6592,6423,7131,5810,6609,8132,7991,9448,9511,8524,8820,7397,8028,7717,8624,7213,7341,9367,10722,12206,11872,12108,11997,9843,10111,8879,9405,7801,7723,9729,10630,12227,12563,12732,11581,10117,11239,8937,10855,8120,8317,11668,9902,10503,14504,15127,12922,12229,11792,8837,10824,8802,9996,12947,14117,15776,17828,15625,16636,14851,13564,13989,14264,11569,11477,16571,15340,17787,19811,16885,18607,16591,16223,14516,14600,11691,11916,15836,16957,19218,19771,18221,19712,13492,15927,14151,13102,11343,12299,15578,16488,19587,18693,19402,18251
